"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.0463661988211379,0.117653921411346,0.779,0.693,1,"Th0","MRPL34"
0.0464481529312474,0.131658487409377,0.351,0.27,1,"Th0","ARHGAP11A"
0.0464537495043989,0.122090685853941,0.534,0.446,1,"Th0","POLR2A"
0.0466004342562652,-0.114166109615323,0.351,0.427,1,"Th0","PGRMC1"
0.0472556920054528,0.111185767459123,0.733,0.664,1,"Th0","RTFDC1"
0.0472569152732548,0.131333623153613,0.84,0.827,1,"Th0","PAPOLA"
0.0472792703535274,0.18406807378388,0.924,0.809,1,"Th0","DDX5"
0.0474334050977058,0.1634195604012,0.74,0.654,1,"Th0","NDUFAF3"
0.0474672744699129,-0.106908854185044,1,1,1,"Th0","COX7C"
0.047593182103313,-0.102835339375853,0.076,0.136,1,"Th0","BCL6"
0.0478251679123769,0.11177958598412,0.389,0.318,1,"Th0","FGD3"
0.0478862758974085,0.15971824083349,0.855,0.848,1,"Th0","PRR13"
0.0479736044933895,0.110451578195401,0.641,0.53,1,"Th0","SH2D1A"
0.0480279214115991,0.247064639569269,0.656,0.575,1,"Th0","ZC3HAV1"
0.0481948693436916,-0.113545634094921,0.947,0.972,1,"Th0","SNU13"
0.0485867802062274,0.107348326608144,0.511,0.411,1,"Th0","FAM26F"
0.0488457162354975,-0.171823273945738,0.573,0.602,1,"Th0","CYB5A"
0.04884937617404,-0.215722348950987,0.168,0.236,1,"Th0","RGS2"
0.0489204958102838,-0.271382966998084,0.42,0.497,1,"Th0","CTLA4"
0.0494778128292514,-0.155634627353469,0.664,0.696,1,"Th0","PPP2R1A"
0.0497388099695477,-0.128092555006513,0.985,0.959,1,"Th0","EIF3F"
0.0498291485423402,-0.100325122717475,0.198,0.268,1,"Th0","INO80C"
0.0501987203842781,0.107142787815935,0.947,0.928,1,"Th0","WHSC1L1"
0.0505580014057266,-0.115509195816733,0.252,0.318,1,"Th0","KLHL7"
0.050561430109069,0.117951199994474,0.939,0.929,1,"Th0","ACTR3"
0.0508678581733465,-0.177563445275143,0.924,0.91,1,"Th0","STAT3"
0.0510896565456852,0.108415752345701,0.527,0.438,1,"Th0","SCAPER"
0.0511637950342125,0.142980261804112,0.504,0.428,1,"Th0","BCL11B"
0.0511694268052484,-0.156869423407624,0.618,0.655,1,"Th0","PFDN1"
0.0512972684576456,0.140457130036798,0.718,0.638,1,"Th0","CKS2"
0.0513779005418831,0.13531019993036,0.885,0.835,1,"Th0","CD3G"
0.0515772731157268,0.134239328658519,0.725,0.633,1,"Th0","POLR2J3"
0.0516513105126903,0.104438638753415,0.267,0.198,1,"Th0","ID3"
0.0517770094865512,0.107221421987647,0.45,0.387,1,"Th0","NEDD1"
0.0520554325345324,0.104002391071025,0.573,0.493,1,"Th0","RALB"
0.052065881579516,-0.138313820865736,0.954,0.959,1,"Th0","RBX1"
0.0521301322618635,-0.106035997238618,0.687,0.741,1,"Th0","EIF6"
0.0522542914442987,0.154290024573722,0.496,0.419,1,"Th0","MAD1L1"
0.0526234497845707,-0.10350356220683,0.16,0.231,1,"Th0","DUSP3"
0.0527745645903963,0.339485408971198,0.695,0.661,1,"Th0","IER2"
0.0528952706950416,0.11161003311358,0.557,0.441,1,"Th0","HMOX2"
0.0529725585447405,0.135554876026663,0.855,0.781,1,"Th0","MRFAP1"
0.0530582729814315,0.145602892258129,0.771,0.719,1,"Th0","TTC3"
0.0530729306262991,0.119570024132946,0.489,0.407,1,"Th0","PAXBP1"
0.0532782458492969,-0.160346830129195,0.473,0.529,1,"Th0","C12orf45"
0.0532810395788585,0.129383045349932,0.611,0.543,1,"Th0","XPOT"
0.0535906767018515,0.139450891018767,0.275,0.203,1,"Th0","GCSAM"
0.0538752700664412,-0.102812310471153,0.099,0.154,1,"Th0","RP11-553L6.2"
0.0546318614386656,-0.218150900752203,0.656,0.68,1,"Th0","CDK6"
0.0546638461547305,0.128582257937664,0.511,0.434,1,"Th0","MSI2"
0.0549359648011075,0.116865026775267,0.481,0.406,1,"Th0","PROSC"
0.0553903815637547,-0.130497867298758,0.145,0.207,1,"Th0","TNFRSF12A"
0.0557964580206924,0.135673881896825,0.542,0.463,1,"Th0","IFNAR1"
0.0562458187042049,0.102561199788738,0.405,0.335,1,"Th0","TP53RK"
0.0562916982966572,0.100269438579452,0.42,0.335,1,"Th0","P2RY10"
0.0564274277051496,-0.130132904829124,0.221,0.293,1,"Th0","UPK1A-AS1"
0.0565171085714903,0.154024643756115,0.443,0.373,1,"Th0","SEC23B"
0.0569079848911237,0.150766598839567,0.534,0.464,1,"Th0","USO1"
0.0569654897299921,-0.103510241075839,1,0.999,1,"Th0","RPL5"
0.0570444377956617,0.173350132966378,0.344,0.27,1,"Th0","KIF2C"
0.0570472914978435,0.140577379143238,0.916,0.91,1,"Th0","TPM4"
0.0571390846150501,-0.150820254126872,0.107,0.171,1,"Th0","TPRG1"
0.0571784741259777,0.11097526561792,0.504,0.437,1,"Th0","CDC27"
0.0573529232220341,0.100706753094205,0.55,0.459,1,"Th0","PHF20L1"
0.0575748548262193,-0.158987672279289,0.069,0.121,1,"Th0","TNFRSF9"
0.0579124163400684,-0.108438350514047,0.954,0.933,1,"Th0","MDH2"
0.058463370468784,-0.111125101606086,0.351,0.402,1,"Th0","ECSIT"
0.0584969861728078,0.10353777404437,0.786,0.651,1,"Th0","ARHGAP15"
0.058747404651908,0.121381187148954,0.947,0.948,1,"Th0","DRAP1"
0.0592392029172895,0.117361746584945,0.573,0.514,1,"Th0","MRPL27"
0.060144802764821,0.116594277919253,0.908,0.846,1,"Th0","KPNB1"
0.0601871740618547,-0.179826224089004,0.84,0.793,1,"Th0","GTF2A2"
0.0602539621846072,-0.101359791782623,0.458,0.535,1,"Th0","COMMD8"
0.0608531559394935,-0.123581685286835,0.71,0.772,1,"Th0","LSM12"
0.0610290114385958,-0.101528041118691,0.962,0.962,1,"Th0","FBL"
0.0615755203026075,0.113048968572205,0.84,0.754,1,"Th0","AP2S1"
0.0615893069858966,-0.125966239343687,0.267,0.33,1,"Th0","SMIM3"
0.0616468462120463,-0.117343350924431,0.366,0.433,1,"Th0","MAPKAPK5-AS1"
0.0623490151566228,-0.14544266542652,0.817,0.824,1,"Th0","ZNHIT3"
0.0630685954223508,0.141650286732351,0.611,0.527,1,"Th0","BTN3A2"
0.0632374338389934,-0.138595684895178,0.656,0.696,1,"Th0","FDFT1"
0.063242345848401,-0.207926609366017,0.931,0.918,1,"Th0","SERPINB1"
0.0640435539171165,0.165648530343264,0.885,0.904,1,"Th0","ANP32E"
0.064155414772741,0.120191501919112,0.863,0.803,1,"Th0","MRPL14"
0.0643879705725351,0.136929363506741,0.573,0.49,1,"Th0","HELLS"
0.0644718533248456,-0.100652344230177,0.198,0.254,1,"Th0","IMMP2L"
0.0645988373830622,0.106227949368295,0.969,0.949,1,"Th0","MORF4L1"
0.0651577542574277,-0.147555761191811,0.252,0.305,1,"Th0","PLK3"
0.0653871763862413,0.11007794457901,0.412,0.338,1,"Th0","TOPORS"
0.0654797415618125,-0.145560370043161,0.435,0.486,1,"Th0","TM2D3"
