"","group_iTreg","group_Th17","group_Th2","group_Th0"
"MT-CO1",-0.35294131397257,0.160050781462238,0.155039496673997,0.126937103872878
"TSC22D3",0.377460316580692,-0.206486062769454,-0.249420344619673,NA
"CACYBP",0.388152406387485,-0.165930339971085,-0.194677348534972,-0.234821416812222
"WDR45B",0.369574570353158,-0.133730026029022,-0.272460545318317,-0.14470437220579
"RPS6KA5",-0.250788375915334,NA,0.242450513417361,0.281490643201728
"ATP1B1",0.436654141013827,NA,-0.414904832986458,-0.335465266284313
"RSBN1",0.297519234069617,-0.177349665202242,NA,-0.215328034702844
"HNRNPAB",-0.446369786201956,NA,0.387971845798344,0.250953749109625
"RNF125",-0.572598681949134,-0.60869941148153,1.25706571348295,-0.123831384986628
"PIK3IP1",0.3872830767491,NA,-0.307151434719558,-0.313682773530822
"VDAC1",0.301048296879794,NA,-0.361870779296509,-0.203229008884607
"LMCD1",0.270890127113267,NA,-0.182872312835669,-0.167270365061877
"ARPC1B",-0.419951810102276,-0.152278913173765,0.484119566884384,0.290682402900305
"FXYD5",0.319623449345422,NA,-0.563333596858415,NA
"SELL",0.486843492487219,NA,-0.7274641805714,-0.165895606359233
"PARP1",-0.407111929741727,NA,0.374811191017819,0.217647215000263
"LGALS1",0.47787110015633,0.143236766838225,-0.684054822091182,-0.473980583356352
"ZFP36L2",0.487600862280714,-0.41015990717503,-0.255891953683631,NA
"CFLAR",0.395930831407104,0.294329655074314,-0.762183860364502,-0.535807871403684
"CD44",0.431836804793579,0.12950122429439,-0.665391138811746,-0.342551189549547
"IL2RA",0.503276898701865,-0.246828523923966,-0.514609683374657,NA
"RGCC",0.463908489205801,0.816306131581356,-1.53045684956791,-1.64677194402719
"TRBC2",0.512555526426153,NA,-0.75802139816293,-0.114284207999352
"C4orf3",0.327794434694723,NA,-0.438019638800341,NA
"LBR",-0.38412758436758,-0.156149114687458,0.493171540866765,0.226831797245326
"TNFAIP8",0.437303814909739,NA,-0.584442378838377,-0.286226925612425
"MT-ND4",-0.310878767341921,0.132291476903421,0.169769232167741,0.28355669565239
"SDF2L1",-0.36557484460443,NA,0.479440303676454,NA
"CLK1",0.363072661404484,0.108878562859177,-0.448978735405909,-0.410698301682838
